,PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,LastName,cabin_proper,multiple_cabin,family_memb_count,has_family,friends_count,has_friend,no_fam_friend,has_master_miss,age_grp
764,544,1,2,"Beane, Mr. Edward",male,32,1,0,2908,26,not_assigned,S,Beane,FALSE,FALSE,2,TRUE,2,FALSE,FALSE,FALSE,5
774,547,1,2,"Beane, Mrs. Edward (Ethel Clarke)",female,19,1,0,2908,26,not_assigned,S,Beane,FALSE,FALSE,2,TRUE,2,FALSE,FALSE,FALSE,4
786,54,1,2,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",female,29,1,0,2926,26,not_assigned,S,Faunthorpe,FALSE,FALSE,1,FALSE,1,FALSE,TRUE,FALSE,5
797,585,0,3,"Paulner, Mr. Uscher",male,26.57906632,0,0,3411,8.7125,not_assigned,C,Paulner,FALSE,FALSE,1,FALSE,1,FALSE,TRUE,FALSE,5
808,478,0,3,"Braund, Mr. Lewis Richard",male,29,1,0,3460,7.0458,not_assigned,S,Braund,FALSE,FALSE,1,FALSE,1,FALSE,TRUE,FALSE,5
819,811,0,3,"Alexander, Mr. William",male,26,0,0,3474,7.8875,not_assigned,S,Alexander,FALSE,FALSE,1,FALSE,1,FALSE,TRUE,FALSE,5
826,177,0,3,"Lefebre, Master. Henry Forbes",male,4.689599206,3,1,4133,25.4667,not_assigned,S,Lefebre,FALSE,FALSE,4,TRUE,4,FALSE,FALSE,TRUE,1
837,230,0,3,"Lefebre, Miss. Mathilde",female,4.689599206,3,1,4133,25.4667,not_assigned,S,Lefebre,FALSE,FALSE,4,TRUE,4,FALSE,FALSE,TRUE,1
848,410,0,3,"Lefebre, Miss. Ida",female,4.689599206,3,1,4133,25.4667,not_assigned,S,Lefebre,FALSE,FALSE,4,TRUE,4,FALSE,FALSE,TRUE,1
859,486,0,3,"Lefebre, Miss. Jeannie",female,4.689599206,3,1,4133,25.4667,not_assigned,S,Lefebre,FALSE,FALSE,4,TRUE,4,FALSE,FALSE,TRUE,1
877,484,1,3,"Turkula, Mrs. (Hedwig)",female,63,0,0,4134,9.5875,not_assigned,S,Turkula,FALSE,FALSE,1,FALSE,1,FALSE,TRUE,FALSE,8
886,504,0,3,"Laitinen, Miss. Kristina Sofia",female,37,0,0,4135,9.5875,not_assigned,S,Laitinen,FALSE,FALSE,1,FALSE,1,FALSE,TRUE,TRUE,6
895,114,0,3,"Jussila, Miss. Katriina",female,20,1,0,4136,9.825,not_assigned,S,Jussila,FALSE,FALSE,1,FALSE,1,FALSE,TRUE,TRUE,4
906,403,0,3,"Jussila, Miss. Mari Aina",female,21,1,0,4137,9.825,not_assigned,S,Jussila,FALSE,FALSE,1,FALSE,1,FALSE,TRUE,TRUE,4
916,678,1,3,"Turja, Miss. Anna Sofia",female,18,0,0,4138,9.8417,not_assigned,S,Turja,FALSE,FALSE,1,FALSE,1,FALSE,TRUE,TRUE,3
930,198,0,3,"Olsen, Mr. Karl Siegwart Andreas",male,42,0,1,4579,8.4042,not_assigned,S,Olsen,FALSE,FALSE,1,FALSE,1,FALSE,TRUE,FALSE,6
942,663,0,1,"Colley, Mr. Edward Pomeroy",male,47,0,0,5727,25.5875,E58,S,Colley,TRUE,FALSE,1,FALSE,1,FALSE,TRUE,FALSE,7
950,683,0,3,"Olsvigen, Mr. Thor Anderson",male,20,0,0,6563,9.225,not_assigned,S,Olsvigen,FALSE,FALSE,1,FALSE,1,FALSE,TRUE,FALSE,4
961,351,0,3,"Odahl, Mr. Nils Martin",male,23,0,0,7267,9.225,not_assigned,S,Odahl,FALSE,FALSE,1,FALSE,1,FALSE,TRUE,FALSE,4
971,139,0,3,"Osen, Mr. Olaf Elon",male,16,0,0,7534,9.2167,not_assigned,S,Osen,FALSE,FALSE,1,FALSE,1,FALSE,TRUE,FALSE,3
983,877,0,3,"Gustafsson, Mr. Alfred Ossian",male,20,0,0,7534,9.8458,not_assigned,S,Gustafsson,FALSE,FALSE,1,FALSE,1,FALSE,TRUE,FALSE,4
995,104,0,3,"Johansson, Mr. Gustaf Joel",male,33,0,0,7540,8.6542,not_assigned,S,Johansson,FALSE,FALSE,1,FALSE,1,FALSE,TRUE,FALSE,5
1006,714,0,3,"Larsson, Mr. August Viktor",male,29,0,0,7545,9.4833,not_assigned,S,Larsson,FALSE,FALSE,1,FALSE,1,FALSE,TRUE,FALSE,5
1018,41,0,3,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",female,40,1,0,7546,9.475,not_assigned,S,Ahlin,FALSE,FALSE,1,FALSE,1,FALSE,TRUE,FALSE,6
1027,883,0,3,"Dahlberg, Miss. Gerda Ulrika",female,22,0,0,7552,10.5167,not_assigned,S,Dahlberg,FALSE,FALSE,1,FALSE,1,FALSE,TRUE,TRUE,4
1038,475,0,3,"Strandberg, Miss. Ida Sofia",female,22,0,0,7553,9.8375,not_assigned,S,Strandberg,FALSE,FALSE,1,FALSE,1,FALSE,TRUE,TRUE,4
1051,339,1,3,"Dahl, Mr. Karl Edwart",male,45,0,0,7598,8.05,not_assigned,S,Dahl,FALSE,FALSE,1,FALSE,1,FALSE,TRUE,FALSE,6
1061,770,0,3,"Gronnestad, Mr. Daniel Danielsen",male,32,0,0,8471,8.3625,not_assigned,S,Gronnestad,FALSE,FALSE,1,FALSE,1,FALSE,TRUE,FALSE,5
1071,653,0,3,"Kalvik, Mr. Johannes Halvorsen",male,21,0,0,8475,8.4333,not_assigned,S,Kalvik,FALSE,FALSE,1,FALSE,1,FALSE,TRUE,FALSE,4
1082,301,1,3,"Kelly, Miss. Anna Katherine ""Annie Kate""",female,20.44021429,0,0,9234,7.75,not_assigned,Q,Kelly,FALSE,FALSE,1,FALSE,1,FALSE,TRUE,TRUE,4
1094,42,0,2,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",female,27,1,0,11668,21,not_assigned,S,Turpin,FALSE,FALSE,2,TRUE,2,FALSE,FALSE,FALSE,5
1105,118,0,2,"Turpin, Mr. William John Robert",male,29,1,0,11668,21,not_assigned,S,Turpin,FALSE,FALSE,2,TRUE,2,FALSE,FALSE,FALSE,5
1117,249,1,1,"Beckwith, Mr. Richard Leonard",male,37,1,1,11751,52.5542,D35,S,Beckwith,TRUE,FALSE,2,TRUE,2,FALSE,FALSE,FALSE,6
1129,872,1,1,"Beckwith, Mrs. Richard Leonard (Sallie Monypeny)",female,47,1,1,11751,52.5542,D35,S,Beckwith,TRUE,FALSE,2,TRUE,2,FALSE,FALSE,FALSE,7
1137,137,1,1,"Newsom, Miss. Helen Monypeny",female,19,0,2,11752,26.2833,D47,S,Newsom,TRUE,FALSE,1,FALSE,1,FALSE,TRUE,TRUE,4
1150,622,1,1,"Kimball, Mr. Edwin Nelson Jr",male,42,1,0,11753,52.5542,D19,S,Kimball,TRUE,FALSE,1,FALSE,1,FALSE,TRUE,FALSE,6
1162,557,1,1,"Duff Gordon, Lady. (Lucille Christiana Sutherland) (""Mrs Morgan"")",female,48,1,0,11755,39.6,A16,C,Duff Gordon,TRUE,FALSE,1,FALSE,1,FALSE,TRUE,FALSE,7
1170,371,1,1,"Harder, Mr. George Achilles",male,25,1,0,11765,55.4417,E50,C,Harder,TRUE,FALSE,1,FALSE,1,FALSE,TRUE,FALSE,4
1181,311,1,1,"Hays, Miss. Margaret Bechstein",female,24,0,0,11767,83.1583,C54,C,Hays,TRUE,FALSE,1,FALSE,2,TRUE,FALSE,TRUE,4
1196,880,1,1,"Potter, Mrs. Thomas Jr (Lily Alexenia Wilson)",female,56,0,1,11767,83.1583,C50,C,Potter,TRUE,FALSE,1,FALSE,2,TRUE,FALSE,FALSE,8
1206,572,1,1,"Appleton, Mrs. Edward Dale (Charlotte Lamson)",female,53,2,0,11769,51.4792,C101,S,Appleton,TRUE,FALSE,1,FALSE,1,FALSE,TRUE,FALSE,7
1218,488,0,1,"Kent, Mr. Edward Austin",male,58,0,0,11771,29.7,B37,C,Kent,TRUE,FALSE,1,FALSE,1,FALSE,TRUE,FALSE,8
1228,840,1,1,"Marechal, Mr. Pierre",male,50.20833333,0,0,11774,29.7,C47,C,Marechal,TRUE,FALSE,1,FALSE,1,FALSE,TRUE,FALSE,7
1237,219,1,1,"Bazzani, Miss. Albina",female,32,0,0,11813,76.2917,D15,C,Bazzani,TRUE,FALSE,1,FALSE,1,FALSE,TRUE,TRUE,5
1247,292,1,1,"Bishop, Mrs. Dickinson H (Helen Walton)",female,19,1,0,11967,91.0792,B49,C,Bishop,TRUE,FALSE,2,TRUE,2,FALSE,FALSE,FALSE,4
1258,485,1,1,"Bishop, Mr. Dickinson H",male,25,1,0,11967,91.0792,B49,C,Bishop,TRUE,FALSE,2,TRUE,2,FALSE,FALSE,FALSE,4
1270,723,0,2,"Gillespie, Mr. William Henry",male,34,0,0,12233,13,not_assigned,S,Gillespie,FALSE,FALSE,1,FALSE,1,FALSE,TRUE,FALSE,5
1282,791,0,3,"Keane, Mr. Andrew ""Andy""",male,44.3834837,0,0,12460,7.75,not_assigned,Q,Keane,FALSE,FALSE,1,FALSE,1,FALSE,TRUE,FALSE,6
1292,521,1,1,"Perreault, Miss. Anne",female,30,0,0,12749,93.5,B73,S,Perreault,TRUE,FALSE,1,FALSE,2,TRUE,FALSE,TRUE,5
1305,821,1,1,"Hays, Mrs. Charles Melville (Clara Jennings Gregg)",female,52,1,1,12749,93.5,B69,S,Hays,TRUE,FALSE,1,FALSE,2,TRUE,FALSE,FALSE,7
1315,584,0,1,"Ross, Mr. John Hugo",male,36,0,0,13049,40.125,A10,C,Ross,TRUE,FALSE,1,FALSE,1,FALSE,TRUE,FALSE,6
1328,648,1,1,"Simonius-Blumer, Col. Oberst Alfons",male,56,0,0,13213,35.5,A26,C,Simonius-Blumer,TRUE,FALSE,1,FALSE,1,FALSE,TRUE,FALSE,8
1336,633,1,1,"Stahelin-Maeglin, Dr. Max",male,32,0,0,13214,30.5,B50,C,Stahelin-Maeglin,TRUE,FALSE,1,FALSE,1,FALSE,TRUE,FALSE,5
1350,276,1,1,"Andrews, Miss. Kornelia Theodosia",female,63,1,0,13502,77.9583,D7,S,Andrews,TRUE,FALSE,1,FALSE,3,TRUE,FALSE,TRUE,8
1357,628,1,1,"Longley, Miss. Gretchen Fiske",female,21,0,0,13502,77.9583,D9,S,Longley,TRUE,FALSE,1,FALSE,3,TRUE,FALSE,TRUE,4
1371,766,1,1,"Hogeboom, Mrs. John C (Anna Andrews)",female,51,1,0,13502,77.9583,D11,S,Hogeboom,TRUE,FALSE,1,FALSE,3,TRUE,FALSE,FALSE,7
1382,435,0,1,"Silvey, Mr. William Baird",male,50,1,0,13507,55.9,E44,S,Silvey,TRUE,FALSE,2,TRUE,2,FALSE,FALSE,FALSE,7
1392,578,1,1,"Silvey, Mrs. William Baird (Alice Munger)",female,39,1,0,13507,55.9,E44,S,Silvey,TRUE,FALSE,2,TRUE,2,FALSE,FALSE,FALSE,6
1405,457,0,1,"Millet, Mr. Francis Davis",male,65,0,0,13509,26.55,E38,S,Millet,TRUE,FALSE,1,FALSE,1,FALSE,TRUE,FALSE,8
1416,588,1,1,"Frolicher-Stehli, Mr. Maxmillian",male,60,1,1,13567,79.2,B41,C,Frolicher-Stehli,TRUE,FALSE,1,FALSE,1,FALSE,TRUE,FALSE,8
1423,540,1,1,"Frolicher, Miss. Hedwig Margaritha",female,22,0,2,13568,49.5,B39,C,Frolicher,TRUE,FALSE,1,FALSE,1,FALSE,TRUE,TRUE,4
1434,48,1,3,"O'Driscoll, Miss. Bridget",female,20.44021429,0,0,14311,7.75,not_assigned,Q,O'Driscoll,FALSE,FALSE,1,FALSE,1,FALSE,TRUE,TRUE,4
1445,574,1,3,"Kelly, Miss. Mary",female,20.44021429,0,0,14312,7.75,not_assigned,Q,Kelly,FALSE,FALSE,1,FALSE,1,FALSE,TRUE,TRUE,4
1456,369,1,3,"Jermyn, Miss. Annie",female,20.44021429,0,0,14313,7.75,not_assigned,Q,Jermyn,FALSE,FALSE,1,FALSE,1,FALSE,TRUE,TRUE,4
1467,589,0,3,"Gilinski, Mr. Eliezer",male,22,0,0,14973,8.05,not_assigned,S,Gilinski,FALSE,FALSE,1,FALSE,1,FALSE,TRUE,FALSE,4
1480,320,1,1,"Spedden, Mrs. Frederic Oakley (Margaretta Corning Stone)",female,40,1,1,16966,134.5,E34,C,Spedden,TRUE,FALSE,1,FALSE,2,TRUE,FALSE,FALSE,6
1491,338,1,1,"Burns, Miss. Elizabeth Margaret",female,41,0,0,16966,134.5,E40,C,Burns,TRUE,FALSE,1,FALSE,2,TRUE,FALSE,TRUE,6
1503,741,1,1,"Hawksford, Mr. Walter James",male,51.993,0,0,16988,30,D45,S,Hawksford,TRUE,FALSE,1,FALSE,1,FALSE,TRUE,FALSE,7
1512,307,1,1,"Fleming, Miss. Margaret",female,29.00666667,0,0,17421,110.8833,not_assigned,C,Fleming,FALSE,FALSE,1,FALSE,4,TRUE,FALSE,TRUE,5
1521,551,1,1,"Thayer, Mr. John Borland Jr",male,17,0,2,17421,110.8833,C70,C,Thayer,TRUE,FALSE,3,TRUE,4,FALSE,FALSE,FALSE,3
1535,582,1,1,"Thayer, Mrs. John Borland (Marian Longstreth Morris)",female,39,1,1,17421,110.8833,C68,C,Thayer,TRUE,FALSE,3,TRUE,4,FALSE,FALSE,FALSE,6
1547,699,0,1,"Thayer, Mr. John Borland",male,49,1,1,17421,110.8833,C68,C,Thayer,TRUE,FALSE,3,TRUE,4,FALSE,FALSE,FALSE,7
1558,454,1,1,"Goldenberg, Mr. Samuel L",male,49,1,0,17453,89.1042,C92,C,Goldenberg,TRUE,FALSE,2,TRUE,2,FALSE,FALSE,FALSE,7
1569,850,1,1,"Goldenberg, Mrs. Samuel L (Edwiga Grabowska)",female,46.0425,1,0,17453,89.1042,C92,C,Goldenberg,TRUE,FALSE,2,TRUE,2,FALSE,FALSE,FALSE,7
1580,7,0,1,"McCarthy, Mr. Timothy J",male,54,0,0,17463,51.8625,E46,S,McCarthy,TRUE,FALSE,1,FALSE,1,FALSE,TRUE,FALSE,7
1590,458,1,1,"Kenyon, Mrs. Frederick R (Marion)",female,41.55,1,0,17464,51.8625,D21,S,Kenyon,TRUE,FALSE,1,FALSE,1,FALSE,TRUE,FALSE,6
1602,797,1,1,"Leader, Dr. Alice (Farnham)",female,49,0,0,17465,25.9292,D17,S,Leader,TRUE,FALSE,1,FALSE,1,FALSE,TRUE,FALSE,7
1613,863,1,1,"Swift, Mrs. Frederick Joel (Margaret Welles Barron)",female,48,0,0,17466,25.9292,D17,S,Swift,TRUE,FALSE,1,FALSE,1,FALSE,TRUE,FALSE,7
1622,691,1,1,"Dick, Mr. Albert Adrian",male,31,1,0,17474,57,B20,S,Dick,TRUE,FALSE,2,TRUE,2,FALSE,FALSE,FALSE,5
